source,author,title,description,url,urlToImage,publishedAt,content,category,country
"{'id': None, 'name': 'Livemint'}",Asit Manohar,Why Indian stock market has been rising for last six sessions â€” explained | Mint - Mint,"Indian stock market may gain strength by heavy buying in banking, auto and capital goods segments, say experts",https://www.livemint.com/market/stock-market-news/why-indian-stock-market-has-been-rising-for-last-six-sessions-explained-11682742887345.html,https://www.livemint.com/lm-img/img/2023/04/29/600x338/Stock_market_news_1682743170088_1682743170551.jpg,2023-04-29T04:42:47Z,"Indian stock market closed higher on all five sessions in the week gone by. Among key benchmark indices, NSE Nifty gained 407 points or 2.31 per cent last week whereas as BSE Sensex went up over 1400â€¦ [+4144 chars]",business,in
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Akash Podishetti,"Q4 results today: What to expect from Kotak Bank, IDFC First Bank and RBL Bank - The Economic Times","Indian financial firms Kotak Mahindra Bank, IDBI Bank, IDFC First Bank and RBL Bank are among those set to report financial results on 24 April. Kotak is expected to see a rise in net interest income for the year to May 2023, while IDFC could report healthy lâ€¦",https://economictimes.indiatimes.com/markets/stocks/news/q4-results-today-what-to-expect-from-kotak-bank-idfc-first-bank-and-rbl-bank/articleshow/99860331.cms,"https://img.etimg.com/thumb/msid-99860432,width-1070,height-580,imgsize-31378,overlay-etmarkets/photo.jpg",2023-04-29T04:20:00Z,"A slew of financial companies including Kotak Mahindra Bank, IDBI Bank, IDFC First Bank, and RBL Bank are slated to report their fourth-quarter results on Saturday along with CDSL.Here's a look at whâ€¦ [+1887 chars]",business,in
"{'id': None, 'name': 'Cardekho.com'}",Rohit,Citroen C3 Aircross vs Compact SUV Rivals: Which Is The Biggest Of The Lot? - CarDekho,"The C3 Aircross, a stretched version of the C3 hatchback, will be the only compact SUV to get both 5- and 7-seater options  After entering the midsize SUV space and the hatchback segment in India, Citroen is now preparing to introduce its all-new India-centriâ€¦",https://www.cardekho.com/india-car-news/citroen-c3-aircross-vs-compact-suv-rivals-which-is-the-biggest-of-the-lot-30775.htm,https://stimg2.cardekho.com/images/carNewsimages/userimages/650X420/30774/1682742604441/GeneralNew.jpg,2023-04-29T04:00:00Z,"The C3 Aircross, a stretched version of the C3 hatchback, will be the only compact SUV to get both 5- and 7-seater options
After entering the midsize SUV space and the hatchback segment in India, Ciâ€¦ [+3271 chars]",business,in
"{'id': None, 'name': 'NDTV News'}",,"US H-1B Visa Lottery System Resulted In Abuse, Fraud, Says Federal Agency - NDTV","The computerised drawing of lots devised to select successful H-1B applicants every year has resulted in abuse of the system and a sharp increase in fraudulent efforts, a federal agency said on Friday.",https://www.ndtv.com/world-news/us-h-1b-visa-lottery-system-resulted-in-abuse-fraud-says-federal-agency-3989714,https://i.ndtvimg.com/i/2018-04/us-visa-us-immigration-istock_650x400_41524626692.jpg,2023-04-29T02:34:45Z,"USCIS said it is in the process of initiating law enforcement referrals for criminal prosecution.
Washington: The computerised drawing of lots devised to select successful H-1B applicants every yearâ€¦ [+2820 chars]",business,in
"{'id': None, 'name': 'Moneycontrol'}",Reuters,U.S. regulator set to take over First Republic - Moneycontrol,"The U.S. banking regulator has decided that the troubled regional lender's position has deteriorated and there is no more time to pursue a rescue through the private sector, the source said, requesting anonymity because the matter is confidential.",https://www.moneycontrol.com/news/world/u-s-regulator-set-to-take-over-first-republic-10498541.html,https://images.moneycontrol.com/static-mcnews/2023/04/397311658-770x433.jpg,2023-04-29T02:13:22Z,"The U.S. Federal Deposit Insurance Corporation (FDIC) is preparing to place First Republic under receivership imminently, a person familiar with the matter said on Friday.
The U.S. banking regulatorâ€¦ [+314 chars]",business,in
"{'id': None, 'name': 'Kalinga TV'}",Jyotishree Kisan,"Petrol and Diesel Price decreases in capital city of Odisha on April 29, Check here - Kalinga TV","Bhubaneswar: The petrol rate in the capital city of Odisha, Bhubaneswar, has decreased slightly on April 29, 2023. The petrol price for today has been recorded at Rs 103.01 per litre. The diesel price for the city has increased marginally at a rate o",https://kalingatv.com/business/petrol-and-diesel-price-decreases-in-capital-city-of-odisha-on-april-28-check-here/,https://kalingatv.com/wp-content/uploads/2021/12/Petrol-e1640319506746.jpg,2023-04-29T01:56:33Z,"Bhubaneswar: The petrol rate in the capital city of Odisha, Bhubaneswar, has decreased slightly on April 29, 2023. The petrol price for today has been recorded at Rs 103.01 per litre. The diesel pricâ€¦ [+680 chars]",business,in
"{'id': None, 'name': 'Moneycontrol'}",Sunil Shankar Matkar,Daily Voice | This CIO identifies five sectors that are poised for growth - Moneycontrol,IndiaFirst Life expects Capital Goods and Infra to continue to see re-rating with companies reporting strong order book and balance sheets.,https://www.moneycontrol.com/news/business/markets/daily-voice-this-cio-identifies-five-sectors-that-are-poised-for-growth-10498111.html,https://images.moneycontrol.com/static-mcnews/2022/03/Poonam-Tandon-1-770x433.jpg,2023-04-29T01:30:02Z,"According to Poonam Tandon, the Chief Investment Officer at IndiaFirst Life Insurance, the IT sector has been facing challenges over the last few months due to the worsening situation in the US folloâ€¦ [+4753 chars]",business,in
"{'id': None, 'name': 'Moneycontrol'}",Sunil Shankar Matkar,"Mankind Pharma IPO | Check the allotment & listing dates, grey market premium - Moneycontrol",Investors in the Mankind Pharma IPO can check their share allotment status on May 3.,https://www.moneycontrol.com/news/business/ipo/mankind-pharma-ipo-check-the-allotment-listing-dates-grey-market-premium-10496451.html,https://images.moneycontrol.com/static-mcnews/2023/03/pharma1-770x433.jpg,2023-04-29T01:14:41Z,"Mankind Pharma closed its maiden public issue on a strong note, getting subscribed over 15 times. Now all eyes will be on its share allotment whichÂ will be announced next week on May 3.
The pharmaceâ€¦ [+3999 chars]",business,in
"{'id': None, 'name': 'Dsij.in'}",Kiran Shroff,Don't miss action in this multibagger stock that has announced bonus shares and dividend! - Dalal Street Investment Journal,"The company verified the record date for the dividend payment as Thursday, May 12, 2023 and the record date for the bonus issue of shares as Monday, June 12, 2023.",https://www.dsij.in/dsijarticledetail/dont-miss-action-in-this-multibagger-stock-that-has-announced-bonus-shares-and-dividend-30082,https://www.dsij.in/Portals/0/EasyDNNnews/30082/Bonus_21.jpg,2023-04-29T01:01:17Z,"The stock is up by 20 per cent in 6 months and gave multibagger returns of over 140 per cent in 3 years.
IndiaMart InterMesh Ltd informed that The Board of Directors of the company have approved a bâ€¦ [+1489 chars]",business,in
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Ratna Bhushan and Chaitali Chakravarty,"Rural markets are aspirationally emulating urban India, says Nestle India Chairman - Economic Times","Nestle India has reported its highest growth in a decade, posting a 20.43% rise in sales for the March quarter. Chairman Suresh Narayanan has attributed the boost to a surge in aspirations from consumers in rural areas and small towns, who now mirror those ofâ€¦",https://economictimes.indiatimes.com/industry/cons-products/fmcg/rural-markets-are-aspirationally-emulating-urban-india-says-nestle-india-chairman/articleshow/99857425.cms,"https://img.etimg.com/thumb/msid-99857470,width-1070,height-580,imgsize-50008,overlay-economictimes/photo.jpg",2023-04-29T00:38:00Z,"There's a transformation taking place in consumption with people in rural areas and small towns mirroring the aspirations of urban ones, Nestle India chairman Suresh Narayanan said in an interview.""Râ€¦ [+4601 chars]",business,in
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Sai Ishwarbharath,Over 90% of Wiproâ€™s freshers chose lower salary option: CFO Jatin Dalal - The Economic Times,"In February, Pune-based labour union Nascent Information Technology Employees Senate (NITES) had filed a complaint against the company with the central labour ministry alleging  unethical reduction  in salary offers of more than 4,000 candidates.",https://economictimes.indiatimes.com/tech/information-tech/over-90-of-wipros-freshers-chose-lower-salary-option-cfo-jatin-dalal/articleshow/99853302.cms,"https://img.etimg.com/thumb/msid-99853373,width-1070,height-580,imgsize-30670,overlay-ettech/photo.jpg",2023-04-29T00:30:00Z,"About 92% of Wipros new campus hires who were offered a lower salary option in order to fast-track onboarding have accepted the companys offer, a top executive told ET.Last year, the Bengaluru-based â€¦ [+3636 chars]",business,in
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Twesh Mishra,"Hero Electric, Okinawa under government lens over misuse of FAME sops - The Economic Times","The probe found the EV two-wheeler firms breached the localisation programme they had committed to, said the people. The recovery notices will seek to claw back the subsidy amount disbursed under the FAME II scheme. Hero Electric and Okinawa denied they had vâ€¦",https://economictimes.indiatimes.com/industry/renewables/recovery-notices-likely-to-two-ev-companies-over-fame-sops/articleshow/99854614.cms,"https://img.etimg.com/thumb/msid-99854624,width-1070,height-580,imgsize-86437,overlay-economictimes/photo.jpg",2023-04-28T19:12:25Z,"New Delhi: The Centre is likely to issue recovery notices to Hero Electric and Okinawa after a probe concluded the two companies violated the provisions of the FAME India scheme, said people with knoâ€¦ [+3070 chars]",business,in
"{'id': None, 'name': 'Financial Express'}",The Financial Express,Higher pension: EPFO tweaks â€˜joint optionâ€™ - The Financial Express,,https://www.financialexpress.com/money/higher-pension-epfo-tweaks-joint-option/3067803/,,2023-04-28T19:00:00Z,,business,in
"{'id': None, 'name': 'Business Today'}",Shubham Singh,'Distasteful': Tata Motors clarifies it didn't mock MG Comet EV - Business Today,Tata Motors issued an official statement on the matter and denied circulating any image showcasing MG Comet EV and Tata Tiago EV,https://www.businesstoday.in/auto/story/distasteful-tata-motors-clarifies-it-didnt-mock-mg-comet-ev-379359-2023-04-28,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202304/1200_18-sixteen_nine.jpg,2023-04-28T16:53:38Z,"MG Motor India has recently unveiled its newest offering in the electric vehicle (EV) segment, the MG Comet EV which directly competes with Tata Tiago EV.
Even since the car was launched, an image hâ€¦ [+1421 chars]",business,in
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",PTI,"Sebi bans Karvy Stock Broking, promoter from securities market for 7 years; fines Rs 21 crore - Economic Times","While Parthasarathy has been restrained from holding the post of director, or any key managerial position in any listed public company and associating with any registered intermediary for 10 years, the same for KSBL's then directors -- Bhagwan Das Narang, Jyoâ€¦",https://economictimes.indiatimes.com/markets/stocks/news/sebi-bans-ksbl-promoter-from-securities-mkt-for-7-yrs-fines-rs-21-cr/articleshow/99852628.cms,"https://img.etimg.com/thumb/msid-99852647,width-1070,height-580,imgsize-18788,overlay-etmarkets/photo.jpg",2023-04-28T15:50:00Z,Sebi on Friday barred Karvy Stock Broking Ltd (KSBL) and its promoter Comandur Parthasarathy from the securities market for seven years and imposed a penalty of Rs 21 crore on them for misappropriatiâ€¦ [+4329 chars],business,in
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Reuters,US Fed plans broad revamp of bank oversight in wake of SVB collapse - Economic Times,"In what Fed Vice Chair for Supervision Michael Barr called an  unflinching  review of the U.S. central bank's supervision of SVB, the Fed said its oversight of the Santa Clara, California-based bank was inadequate and that regulatory standards were too low.",https://economictimes.indiatimes.com/news/international/business/fed-faults-silicon-valley-bank-execs-itself-in-bank-failure/articleshow/99852288.cms,"https://img.etimg.com/thumb/msid-99852316,width-1070,height-580,imgsize-218160,overlay-economictimes/photo.jpg",2023-04-28T15:32:00Z,"The Federal Reserve issued a detailed and scathing assessment on Friday of its failure to identify problems and push for fixes at Silicon Valley Bank before the U.S. lender's collapse, and promised tâ€¦ [+4830 chars]",business,in
"{'id': None, 'name': 'DailyFX'}",Diego Colman,"Gold Wavers Ahead of Big Data Week, Fed and Jobs Report Eyed for Market Cues - DailyFX","Gold prices were subdued on Friday, but market moves were limited, with many traders sitting on the sidelines and avoiding taking large directional positions ahead of major events next week",https://www.dailyfx.com/news/gold-wavers-ahead-of-big-data-week-fed-and-jobs-report-eyed-for-market-cues-20230428.html,https://a.c-dn.net/b/4dKtJi/gold_prices_XAUUSD_fed.jpg,2023-04-28T15:10:00Z,"<ul><li>Gold prices were subdued on Friday, but losses were limited</li><li>Traders appear to be avoiding large directional bets ahead of important economic events in the coming days</li><li>The Fed â€¦ [+3381 chars]",business,in
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Atmadip Ray,L&T Finance Holdings Q4 Results: PAT jumps 47% YoY to Rs 501 crore - Economic Times,"Retail book size at Rs 61,053 crore, up 35%. Retail portfolio mix at 75% in the fourth quarter compared with 51% in the year-ago period.",https://economictimes.indiatimes.com/markets/stocks/earnings/lt-finance-holdings-q4-results-pat-jumps-47-yoy-to-rs-501-crore/articleshow/99851170.cms,"https://img.etimg.com/thumb/msid-99851345,width-1070,height-580,imgsize-2038,overlay-etmarkets/photo.jpg",2023-04-28T14:52:00Z,L&amp;T Finance Holdings on Friday reported a 47% rise in net profit for the March quarter at Rs 501 crore against Rs 342 crore in the year-ago period.The net interest margin plus fee for the companyâ€¦ [+1076 chars],business,in
"{'id': None, 'name': 'GSMArena.com'}",Yordan,"Canalys: Chinese smartphone market declines 11% in Q1, Apple on top - GSMArena.com news - GSMArena.com","This is the worst Q1 period in the past ten years. Canalys reported the Chinese smartphone market contracted by 11% in Q1 on a yearly basis, following a...",https://www.gsmarena.com/canalys_q1_smartphone_market_declines_11_in_china_apple_climbs_on_top-news-58390.php,https://fdn.gsmarena.com/imgroot/news/23/04/canalys-q1-market-china/-952x498w6/gsmarena_001.jpg,2023-04-28T14:49:01Z,"Canalys reported the Chinese smartphone market contracted by 11% in Q1 on a yearly basis, following a wider trend around the world. According to the data, it was the worst Q1 period since 2013.
Shipâ€¦ [+1738 chars]",business,in
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",PTI,Jet Airways CEO-Designate Sanjiv Kapoor quits - Times of India,"India Business News: MUMBAI: A little over a year after coming on board to revive Jet Airways, the airline's CEO-Designate Sanjiv Kapoor has put in his papers.",https://timesofindia.indiatimes.com/business/india-business/jet-airways-ceo-designate-sanjiv-kapoor-quits/articleshow/99850167.cms,"https://static.toiimg.com/thumb/msid-99852447,width-1070,height-580,imgsize-614070,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2023-04-28T13:58:00Z,"FD Calculator
When investing in a fixed deposit, the amount you deposit earns interest as per the prevailing...
Calculate Now",business,in
